Index,CH_Id,PHA_LG
356,17,6329
356,18,1538
357,13,2154
357,16,1903
357,17,5039
357,18,1718
358,13,2608
358,16,1421
358,17,5814
358,18,1746
359,12,1803
359,16,1403
359,17,3934
359,18,1260
360,11,1782
360,16,1966
360,17,3951
360,18,1532
361,13,1974
361,16,1481
361,17,5184
361,18,1639
362,14,2181
362,16,2082
362,17,7306
362,18,1433
363,13,1461
363,16,1167
363,17,5244
363,18,1723
364,12,1497
364,16,1870
364,17,3682
364,18,1675
365,1,2987
365,16,1107
365,17,1096
365,18,3492
366,6,2311
366,16,1140
366,17,3672
366,18,4266
367,9,1926
367,16,1238
367,17,3521
367,18,2751
368,15,1628
368,16,3076
368,17,7389
368,18,1468
369,2,2454
369,16,1115
369,17,1327
369,18,3996
370,7,2587
370,16,1451
370,17,1336
370,18,1246
371,14,2106
371,16,3697
371,17,5209
371,18,1226
372,13,2452
372,16,1525
372,17,4536
372,18,1374
373,12,2175
373,16,1283
373,17,3579
373,18,1469
374,9,2288
374,16,2396
374,17,2777
374,18,2031
375,12,1683
375,16,1581
375,17,3588
375,18,1612
376,9,1296
376,16,1480
376,17,3645
376,18,2141
377,13,1935
377,16,2163
377,17,5838
377,18,1615
378,14,1929
378,16,2321
378,17,6229
378,18,1265
379,10,2143
379,16,1709
379,17,3041
379,18,1755
380,14,2200
380,16,1717
380,17,6055
380,18,1515
381,13,2059
381,16,3015
381,17,4331
381,18,1232
382,13,2633
382,16,1730
382,17,8191
382,18,1456
383,8,1370
383,16,1544
383,17,3198
383,18,2874
384,11,2956
384,16,1430
384,17,3021
384,18,1975
385,5,3690
385,16,1332
385,17,2580
385,18,3957
386,12,1552
386,16,1629
386,17,4453
386,18,1548
387,10,2685
387,16,1514
387,17,5277
387,18,3562
388,12,3708
388,16,1376
388,17,5264
388,18,2331
389,9,2025
389,16,1460
389,17,8071
389,18,3689
390,4,1723
390,16,1150
390,17,2501
390,18,5576
391,12,2800
391,16,2498
391,17,3951
391,18,1311
392,10,2182
392,16,1603
392,17,5026
392,18,3586
393,14,2077
393,16,3694
393,17,5928
