 //************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release 4.2.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:19
//Start_Time_Epoch:1760354946190
//Start_Time_DateTime:Mon Oct 13 13:29:06 2025
//************************************************
TStamp,Trg_Id,Board_Id,Num_hits,ChannelMask,CH_Id,Data_type,PHA_LG,PHA_HG
675048457.056,35,0,4,0x71000,12,0x1,995,-1
675048457.056,35,0,4,0x71000,16,0x1,1577,-1
675048457.056,35,0,4,0x71000,17,0x1,5976,-1
675048457.056,35,0,4,0x71000,18,0x1,2182,-1
720864609.864,36,0,4,0x63000,12,0x1,2344,-1
720864609.864,36,0,4,0x63000,13,0x1,1929,-1
720864609.864,36,0,4,0x63000,17,0x1,8191,-1
720864609.864,36,0,4,0x63000,18,0x1,2010,-1
752128252.224,37,0,4,0x70080,7,0x1,2362,-1
752128252.224,37,0,4,0x70080,16,0x1,1365,-1
752128252.224,37,0,4,0x70080,17,0x1,2904,-1
752128252.224,37,0,4,0x70080,18,0x1,2942,-1
784518596.224,38,0,4,0x70800,11,0x1,2084,-1
784518596.224,38,0,4,0x70800,16,0x1,1433,-1
784518596.224,38,0,4,0x70800,17,0x1,8045,-1
784518596.224,38,0,4,0x70800,18,0x1,3364,-1
785853159.600,39,0,4,0x78000,15,0x1,1559,-1
785853159.600,39,0,4,0x78000,16,0x1,2232,-1
785853159.600,39,0,4,0x78000,17,0x1,5711,-1
785853159.600,39,0,4,0x78000,18,0x1,1361,-1
786834445.520,40,0,5,0x60070,4,0x1,2153,-1
786834445.520,40,0,5,0x60070,5,0x1,2604,-1
786834445.520,40,0,5,0x60070,6,0x1,3942,-1
786834445.520,40,0,5,0x60070,17,0x1,1095,-1
786834445.520,40,0,5,0x60070,18,0x1,3385,-1
841451241.576,41,0,4,0x70004,2,0x1,2329,-1
841451241.576,41,0,4,0x70004,16,0x1,1633,-1
841451241.576,41,0,4,0x70004,17,0x1,1966,-1
841451241.576,41,0,4,0x70004,18,0x1,4613,-1
876556788.776,42,0,5,0x6001c,2,0x1,1797,-1
876556788.776,42,0,5,0x6001c,3,0x1,1442,-1
876556788.776,42,0,5,0x6001c,4,0x1,2105,-1
876556788.776,42,0,5,0x6001c,17,0x1,2539,-1
876556788.776,42,0,5,0x6001c,18,0x1,2683,-1
890014446.560,43,0,5,0x70018,3,0x1,1336,-1
890014446.560,43,0,5,0x70018,4,0x1,1775,-1
890014446.560,43,0,5,0x70018,16,0x1,1508,-1
890014446.560,43,0,5,0x70018,17,0x1,2413,-1
890014446.560,43,0,5,0x70018,18,0x1,6305,-1
926516823.344,44,0,5,0x7c0,6,0x1,1727,-1
926516823.344,44,0,5,0x7c0,7,0x1,1835,-1
926516823.344,44,0,5,0x7c0,8,0x1,1385,-1
926516823.344,44,0,5,0x7c0,9,0x1,1619,-1
926516823.344,44,0,5,0x7c0,10,0x1,1042,-1
958183235.368,45,0,4,0x63000,12,0x1,2428,-1
958183235.368,45,0,4,0x63000,13,0x1,2646,-1
958183235.368,45,0,4,0x63000,17,0x1,5070,-1
958183235.368,45,0,4,0x63000,18,0x1,1325,-1
963278911.192,46,0,4,0xe1,0,0x1,1082,-1
963278911.192,46,0,4,0xe1,5,0x1,1443,-1
963278911.192,46,0,4,0xe1,6,0x1,3165,-1
963278911.192,46,0,4,0xe1,7,0x1,1124,-1
981109274.000,47,0,5,0x70060,5,0x1,1992,-1
981109274.000,47,0,5,0x70060,6,0x1,3155,-1
981109274.000,47,0,5,0x70060,16,0x1,478,-1
981109274.000,47,0,5,0x70060,17,0x1,2477,-1
981109274.000,47,0,5,0x70060,18,0x1,2348,-1
985011319.368,48,0,4,0x60300,8,0x1,3731,-1
985011319.368,48,0,4,0x60300,9,0x1,1786,-1
985011319.368,48,0,4,0x60300,17,0x1,2389,-1
985011319.368,48,0,4,0x60300,18,0x1,2378,-1
989105634.128,49,0,4,0x74000,14,0x1,2650,-1
989105634.128,49,0,4,0x74000,16,0x1,2851,-1
989105634.128,49,0,4,0x74000,17,0x1,6145,-1
989105634.128,49,0,4,0x74000,18,0x1,1253,-1
989718114.896,50,0,6,0x61d00,8,0x1,2000,-1
989718114.896,50,0,6,0x61d00,10,0x1,5469,-1
989718114.896,50,0,6,0x61d00,11,0x1,2158,-1
989718114.896,50,0,6,0x61d00,12,0x1,1818,-1
989718114.896,50,0,6,0x61d00,17,0x1,994,-1
989718114.896,50,0,6,0x61d00,18,0x1,429,-1
992890125.848,51,0,4,0x71000,12,0x1,2041,-1
992890125.848,51,0,4,0x71000,16,0x1,1410,-1
992890125.848,51,0,4,0x71000,17,0x1,4986,-1
992890125.848,51,0,4,0x71000,18,0x1,1658,-1
1002899027.160,52,0,4,0x70400,10,0x1,1310,-1
1002899027.160,52,0,4,0x70400,16,0x1,1248,-1
1002899027.160,52,0,4,0x70400,17,0x1,4417,-1
1002899027.160,52,0,4,0x70400,18,0x1,1775,-1
1012887919.912,53,0,5,0xf800,11,0x1,4969,-1
1012887919.912,53,0,5,0xf800,12,0x1,1923,-1
1012887919.912,53,0,5,0xf800,13,0x1,2413,-1
1012887919.912,53,0,5,0xf800,14,0x1,2699,-1
1012887919.912,53,0,5,0xf800,15,0x1,2071,-1
1045425040.840,54,0,5,0x70180,7,0x1,1500,-1
1045425040.840,54,0,5,0x70180,8,0x1,1161,-1
1045425040.840,54,0,5,0x70180,16,0x1,1285,-1
1045425040.840,54,0,5,0x70180,17,0x1,3908,-1
1045425040.840,54,0,5,0x70180,18,0x1,4780,-1
1054108928.408,55,0,4,0x74000,14,0x1,2013,-1
1054108928.408,55,0,4,0x74000,16,0x1,1856,-1
1054108928.408,55,0,4,0x74000,17,0x1,5107,-1
1054108928.408,55,0,4,0x74000,18,0x1,1503,-1
1081666645.448,56,0,8,0x607e0,5,0x1,1725,-1
1081666645.448,56,0,8,0x607e0,6,0x1,1786,-1
1081666645.448,56,0,8,0x607e0,7,0x1,2168,-1
1081666645.448,56,0,8,0x607e0,8,0x1,1981,-1
1081666645.448,56,0,8,0x607e0,9,0x1,1802,-1
1081666645.448,56,0,8,0x607e0,10,0x1,1357,-1
1081666645.448,56,0,8,0x607e0,17,0x1,7946,-1
1081666645.448,56,0,8,0x607e0,18,0x1,1981,-1
1086826604.776,57,0,4,0xf000,12,0x1,1674,-1
1086826604.776,57,0,4,0xf000,13,0x1,2146,-1
1086826604.776,57,0,4,0xf000,14,0x1,1493,-1
1086826604.776,57,0,4,0xf000,15,0x1,2078,-1
1101069786.160,58,0,4,0x70080,7,0x1,3398,-1
1101069786.160,58,0,4,0x70080,16,0x1,1282,-1
1101069786.160,58,0,4,0x70080,17,0x1,2975,-1
1101069786.160,58,0,4,0x70080,18,0x1,1633,-1
1113629063.880,59,0,6,0x63c00,10,0x1,519,-1
1113629063.880,59,0,6,0x63c00,11,0x1,2267,-1
1113629063.880,59,0,6,0x63c00,12,0x1,3276,-1
1113629063.880,59,0,6,0x63c00,13,0x1,6216,-1
1113629063.880,59,0,6,0x63c00,17,0x1,1421,-1
1113629063.880,59,0,6,0x63c00,18,0x1,356,-1
1133839923.624,60,0,5,0x67000,12,0x1,3173,-1
1133839923.624,60,0,5,0x67000,13,0x1,3042,-1
1133839923.624,60,0,5,0x67000,14,0x1,2918,-1
1133839923.624,60,0,5,0x67000,17,0x1,3730,-1
1133839923.624,60,0,5,0x67000,18,0x1,1658,-1
1186040895.088,61,0,6,0x60071,0,0x1,1788,-1
1186040895.088,61,0,6,0x60071,4,0x1,3252,-1
1186040895.088,61,0,6,0x60071,5,0x1,3675,-1
1186040895.088,61,0,6,0x60071,6,0x1,1554,-1
1186040895.088,61,0,6,0x60071,17,0x1,2894,-1
1186040895.088,61,0,6,0x60071,18,0x1,4967,-1
1207431959.800,62,0,6,0xe80c,2,0x1,2000,-1
1207431959.800,62,0,6,0xe80c,3,0x1,1982,-1
1207431959.800,62,0,6,0xe80c,11,0x1,1979,-1
1207431959.800,62,0,6,0xe80c,13,0x1,1652,-1
1207431959.800,62,0,6,0xe80c,14,0x1,445,-1
1207431959.800,62,0,6,0xe80c,15,0x1,2246,-1
1225563474.584,63,0,4,0x71000,12,0x1,2088,-1
1225563474.584,63,0,4,0x71000,16,0x1,1486,-1
1225563474.584,63,0,4,0x71000,17,0x1,3807,-1
1225563474.584,63,0,4,0x71000,18,0x1,1240,-1
1265801968.552,64,0,4,0x78000,15,0x1,1356,-1
1265801968.552,64,0,4,0x78000,16,0x1,3392,-1
1265801968.552,64,0,4,0x78000,17,0x1,8048,-1
1265801968.552,64,0,4,0x78000,18,0x1,1256,-1
1287243555.312,65,0,4,0x600c0,6,0x1,2975,-1
1287243555.312,65,0,4,0x600c0,7,0x1,1270,-1
1287243555.312,65,0,4,0x600c0,17,0x1,1637,-1
1287243555.312,65,0,4,0x600c0,18,0x1,2209,-1
1292524963.584,66,0,4,0x70400,10,0x1,2387,-1
