//************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release:4.2.0
//Acquisition_Mode:Timing_CStart
//Time_LSB_Value_ns:0.5
//Time_Unit:ns
//Run#:7
//Start_Time_Epoch:1761219348054
//Start_Time_DateTime_UTC:Thu Oct 23 11:35:48 2025
//************************************************
TStamp_us,Board_Id,Num_Hits,CH_Id,DataType,ToA_ns,ToT_ns
153454239.3065,0,6,1,0x30,222.500000,27.000000
153454239.3065,0,6,0,0x30,219.000000,38.000000
153454239.3065,0,6,17,0x30,227.000000,22.500000
153454239.3065,0,6,18,0x30,221.000000,36.000000
153454239.3065,0,6,13,0x30,229.000000,18.000000
170869271.7705,0,4,16,0x30,224.500000,24.500000
170869271.7705,0,4,18,0x30,222.500000,34.000000
170869271.7705,0,4,5,0x30,225.500000,25.500000
170869271.7705,0,4,17,0x30,229.000000,19.500000
187722683.4345,0,4,16,0x30,221.000000,20.500000
187722683.4345,0,4,17,0x30,217.000000,30.000000
187722683.4345,0,4,12,0x30,217.500000,28.000000
187722683.4345,0,4,18,0x30,226.000000,13.500000
194691750.2345,0,4,18,0x30,226.500000,18.500000
194691750.2345,0,4,13,0x30,222.000000,25.500000
194691750.2345,0,4,16,0x30,223.500000,22.500000
194691750.2345,0,4,17,0x30,218.500000,35.500000
199174072.6745,0,4,9,0x30,228.000000,10.000000
199174072.6745,0,4,17,0x30,220.500000,27.000000
199174072.6745,0,4,10,0x30,221.500000,26.000000
199174072.6745,0,4,18,0x30,223.000000,23.000000
199315235.1145,0,4,16,0x30,225.000000,22.000000
199315235.1145,0,4,6,0x30,222.500000,38.000000
199315235.1145,0,4,18,0x30,224.000000,31.000000
199315235.1145,0,4,17,0x30,227.500000,20.500000
221349322.7225,0,4,18,0x30,227.000000,25.500000
221349322.7225,0,4,11,0x30,222.500000,46.500000
221349322.7225,0,4,17,0x30,224.000000,33.500000
221349322.7225,0,4,16,0x30,225.500000,28.000000
227478430.1545,0,4,17,0x30,221.000000,32.000000
227478430.1545,0,4,11,0x30,221.000000,35.000000
227478430.1545,0,4,16,0x30,225.000000,20.500000
227478430.1545,0,4,18,0x30,225.500000,23.000000
264067150.4985,0,4,16,0x30,223.000000,18.000000
264067150.4985,0,4,17,0x30,216.000000,34.500000
264067150.4985,0,4,14,0x30,218.500000,30.500000
264067150.4985,0,4,18,0x30,227.500000,12.000000
297902340.3385,0,4,9,0x30,222.000000,30.000000
297902340.3385,0,4,17,0x30,224.500000,28.000000
297902340.3385,0,4,16,0x30,225.500000,23.000000
